Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-02-25,2633.099365234375,2663.5153004809417,2609.496062078548,2614.3749823229737,4224073
2021-02-26,2544.312255859375,2612.924249244175,2531.7414135558906,2602.067563932443,5553153
2021-03-01,2570.59716796875,2606.4635559455824,2550.9059271202764,2572.1795496447803,3265871
2021-03-02,2642.813232421875,2659.2079326718103,2591.519003476528,2602.0679275069615,3306469
2021-03-03,2689.18408203125,2693.4914727558676,2634.505330178127,2667.99824406464,3509857
2021-03-04,2680.921142578125,2708.8318379382204,2651.340286728885,2657.449829088751,3916760
2021-03-05,2644.307373046875,2692.7883793543356,2634.2419852330613,2651.383985179007,3203686
2021-03-08,2643.340087890625,2666.2400827282695,2633.714239318792,2651.2957762968877,2003125
2021-03-09,2682.019775390625,2696.0410098074835,2630.2862256983,2643.3403896236246,1942397
2021-03-10,2699.601318359375,2719.160780509051,2689.975468674562,2703.1616229327706,3053778
2021-03-12,2688.1728515625,2740.082379408884,2673.580305486487,2703.161153892306,2938317
2021-03-15,2695.38232421875,2724.260094514271,2673.2736196895444,2673.2736196895444,3097083
2021-03-16,2733.97314453125,2761.180531550743,2689.9753029434173,2689.9753029434173,4894756
2021-03-17,2736.5224609375,2773.487688424811,2712.216069895808,2729.5338423325,3838390
2021-03-18,2669.317138671875,2765.971605676394,2625.846826743809,2747.950528336439,3656306
2021-03-19,2681.360595703125,2724.259595798463,2641.6263586235505,2663.603283404112,5776626
2021-03-22,2751.20263671875,2759.8176323307894,2653.62511137092,2680.041412282901,2821646
2021-03-23,2762.587158203125,2785.794702569668,2745.225389387804,2760.3014724104632,3305973
2021-03-24,2743.68701171875,2771.11416820784,2734.9400248267016,2734.984021595591,2207104
2021-03-25,2694.2392578125,2752.2583404265592,2681.1848783769724,2735.8634254319945,3179786
2021-03-26,2695.953369140625,2740.962068326735,2675.0752905252434,2716.9192266843957,3697370
2021-03-30,2776.608154296875,2802.892465571644,2690.7661733862365,2710.193857106451,4694008
2021-03-31,2793.57421875,2817.441067373545,2753.268462718859,2773.4872285689657,3530069
2021-04-01,2782.27880859375,2826.232660230302,2764.6972679391292,2805.2228049953965,4285076
2021-04-05,2847.2421875,2868.4280273958516,2769.9714110708946,2787.5529497003513,5317862
2021-04-06,2869.9228515625,2878.9773882568857,2839.4189203266383,2878.9773882568857,2291562
2021-04-07,2875.81201171875,2881.2184632873655,2843.637926767542,2864.9115442831585,2491268
2021-04-08,2916.205810546875,2931.721431827485,2871.1091231096307,2874.5814339058097,2578118
2021-04-09,2920.513671875,2948.7321304719153,2907.986824159079,2948.424367663105,2911129
2021-04-12,2853.967529296875,2934.4470730375683,2824.650224965105,2920.5136164862206,3791828
2021-04-13,2728.69873046875,2825.35319397879,2701.44734620822,2825.35319397879,8654596
2021-04-15,2829.70458984375,2845.7917402961693,2714.105975634484,2778.146814676858,6062760
2021-04-16,2808.782958984375,2854.3631900125724,2797.7507136681297,2838.5398030645506,3224657
2021-04-19,2779.46533203125,2803.3761803289435,2755.994022175126,2785.794642666172,2679106
2021-04-20,2764.30126953125,2835.330724965426,2748.302113102314,2835.0229622074467,3141893
